"Q1: ""To be or to be that is the question" A) yet B) not C) yes D) no ","B ",
"Q2: ""The quick fox jumped over the lazy dog" A) orange B) blue C) brown D) black ","C ",
"Q3: Which of the followings is an example of active voice? A) The ball was kicked by Okkar B) Okkar kicked the ball C) The ball was kicked by the zombies D) Okkar kicked the ball by the zombies ","B ",
